"order_id","item_price","quantity","item_cat","item_name","created_at","cust_id","customer","delivery_address1","delivery_address2","delivery_city","delivery_zipcode","delivery"
86,21.990000,35,Pizza,Hawaiian,2024-02-24 14:46:09.861,755,Brennen Morin,"76 3rd Street","0 Arkansas Plaza",Lianhua,,true
87,29.990000,39,Pizza,Cheese,2024-02-24 14:46:09.861,904,Chase Ornells,"8871 La Follette Road","0570 Ridgeview Park",Legaspi,"4500",true
88,31.990000,47,Pizza,Pepperoni,2024-02-24 14:46:09.861,713,Elwood Melvin,"41801 Northland Point","664 Gerald Center",El Triunfo de la Cruz,,true
89,31.990000,50,Pizza,Pepperoni,2024-02-24 14:46:09.861,153,Eartha De Roeck,"3515 Division Circle","39 Jenifer Way",Yaoundé,,false
90,25.990000,10,Pizza,Pepperoni,2024-02-24 14:46:09.861,477,Boothe Tomalin,"74 Warrior Court","04267 Coolidge Park",Tiling,"1112",true
91,25.990000,35,Pizza,Pepperoni,2024-02-24 14:46:09.861,658,Lorna Hansmann,"19487 Nevada Place","6420 Drewry Road",Wien,"1200",false
92,24.990000,68,Pizza,Cheese,2024-02-24 14:46:09.861,242,Delmar Noblet,"596 Nobel Court","8470 Old Gate Terrace",Obrera,"96370",true
93,29.990000,47,Pizza,Cheese,2024-02-24 14:46:09.861,28,Gerianna Mintram,"164 Lakewood Gardens Crossing","229 Pepper Wood Plaza",Cachoeirinha,"77915-000",false
94,25.990000,26,Pizza,Pepperoni,2024-02-24 14:46:09.861,981,Jinny Yakunin,"944 Mariners Cove Trail","78 Knutson Trail",Tunoshna,"150501",false
95,25.990000,16,Pizza,Pepperoni,2024-02-24 14:46:09.861,485,Arnie Dighton,"971 Lerdahl Pass","66844 Everett Pass",Kaznějov,"331 51",false
96,21.990000,84,Pizza,Hawaiian,2024-02-24 14:46:09.861,921,Cello Butterworth,"80 Village Avenue","2 Hauk Terrace",Sudimara,,false
97,26.990000,18,Pizza,Hawaiian,2024-02-24 14:46:09.861,495,Padraig Verity,"06353 Fallview Parkway","2 Clarendon Trail",Dzhalilabad,,true
98,19.990000,21,Pizza,Cheese,2024-02-24 14:46:09.861,43,Godart De Pero,"072 Straubel Circle","9067 Cottonwood Park",Velyka Mykhaylivka,,true
99,25.990000,94,Pizza,Pepperoni,2024-02-24 14:46:09.861,781,Celestia Gascard,"2 Marcy Point","5 Forest Dale Way",Mayang,,true
100,25.990000,15,Pizza,Pepperoni,2024-02-24 14:46:09.861,389,Kit Helleker,"0956 Tennessee Plaza","0 Gateway Junction",Bao’an,,true
101,19.990000,91,Pizza,Cheese,2024-02-24 14:46:09.861,603,Kat Bridgnell,"50 Westend Place","8944 Claremont Plaza",Liugou,,true
102,25.990000,31,Pizza,Pepperoni,2024-02-24 14:46:09.861,361,Farand Boswood,"0 Dottie Center","33 Myrtle Avenue",Kotlyarevskaya,"361218",false
103,31.990000,25,Pizza,Pepperoni,2024-02-24 14:46:09.861,384,Quintana Fentem,"4 Tennessee Crossing","90042 Swallow Drive",Ina,"962-0042",false
104,25.990000,86,Pizza,Pepperoni,2024-02-24 14:46:09.861,902,Rupert Millott,"14 Katie Point","460 Chinook Center",Águia Branca,"29795-000",true
105,20.990000,44,Pizza,Pepperoni,2024-02-24 14:46:09.861,259,Ellsworth Bellingham,"8 Pine View Avenue","35 Schurz Center",Letsheng,,false
106,20.990000,92,Pizza,Pepperoni,2024-02-24 14:46:09.861,553,Jeana Adamsen,"6 Anzinger Place","18916 Arrowood Court",Zungeru,,false
107,20.990000,87,Pizza,Pepperoni,2024-02-24 14:46:09.861,732,Daloris MacGaughie,"12097 Larry Terrace","5228 Graedel Junction",Duobao,,false
108,31.990000,25,Pizza,Pepperoni,2024-02-24 14:46:09.861,115,Cullie Aldersey,"571 Lawn Plaza","26 Eastwood Center",Nadrupe,"2530-187",false
109,25.990000,56,Pizza,Pepperoni,2024-02-24 14:46:09.861,376,Kaitlynn Shrubsall,"81747 Schlimgen Pass","640 Birchwood Park",Al Qābil,,false
110,24.990000,69,Pizza,Cheese,2024-02-24 14:46:09.861,756,Rosy Pridmore,"63725 Dexter Parkway","9304 Fuller Road",San Cristóbal,"10702",false
111,29.990000,61,Pizza,Cheese,2024-02-24 14:46:09.861,721,Jeanette Petts,"67 Brown Lane","7 Ilene Drive",Lapid,,true
112,26.990000,66,Pizza,Hawaiian,2024-02-24 14:46:09.861,217,Mahalia Ferrara,"6920 Rowland Point","97 Larry Lane",Ueki,"938-0014",false
113,21.990000,96,Pizza,Hawaiian,2024-02-24 14:46:09.861,385,Mame Standrin,"27769 Garrison Trail","9590 Ridgeview Place",Wuppertal,"42285",true
114,21.990000,69,Pizza,Hawaiian,2024-02-24 14:46:09.861,728,Clare Poile,"0901 Mosinee Drive","97440 Ridgeway Hill",Tutup,,true
115,25.990000,100,Pizza,Pepperoni,2024-02-24 14:46:09.861,776,Jaymee Mapson,"4484 Transport Street","49 Elmside Parkway",Moutas,"3700-674",false
116,31.990000,63,Pizza,Pepperoni,2024-02-24 14:46:09.861,957,Antin Organ,"17 Banding Drive","39254 Washington Alley",Liandu,,false
117,31.990000,75,Pizza,Pepperoni,2024-02-24 14:46:09.861,330,Hyacinthia Dinsell,"53 Cody Court","7 Northview Place",Solna,"171 94",true
118,26.990000,87,Pizza,Hawaiian,2024-02-24 14:46:09.861,853,Marylou Grunson,"44868 Basil Road","60 Sachtjen Junction",Limbi,,true
119,26.990000,64,Pizza,Hawaiian,2024-02-24 14:46:09.861,810,Collin Eam,"8 Pine View Avenue","35 Schurz Center",Letsheng,,false
120,26.990000,44,Pizza,Hawaiian,2024-02-24 14:46:09.861,918,Margaret Gouldie,"76 3rd Street","0 Arkansas Plaza",Lianhua,,false
121,29.990000,51,Pizza,Cheese,2024-02-24 14:46:09.861,355,Averil Bulward,"23667 Crescent Oaks Junction","559 Blaine Trail",Fryčovice,"739 45",true
122,26.990000,98,Pizza,Hawaiian,2024-02-24 14:46:09.861,122,Sada Mallebone,"757 Bartillon Place","0851 Kenwood Pass",Encruzilhada do Sul,"96610-000",false
123,25.990000,73,Pizza,Pepperoni,2024-02-24 14:46:09.861,125,Roderigo Setter,"37027 Victoria Street","88 Oakridge Circle",Jönköping,"553 33",false
124,26.990000,88,Pizza,Hawaiian,2024-02-24 14:46:09.861,248,Bern Beasleigh,"03296 Kinsman Park","0222 Iowa Avenue",Soutelo,"4740-497",false
125,31.990000,58,Pizza,Pepperoni,2024-02-24 14:46:09.861,722,Allianora Benian,"2299 Hanover Plaza","8 Sunfield Street",La Unión,"704057",true
126,21.990000,80,Pizza,Hawaiian,2024-02-24 14:46:09.861,869,Theodosia Draye,"23443 Loomis Parkway","9 Petterle Circle",Krivaja,,false
127,20.990000,65,Pizza,Pepperoni,2024-02-24 14:46:09.861,904,Chase Ornells,"58788 Melrose Pass","22 Loomis Street",Fukuma,"811-3522",true
128,20.990000,55,Pizza,Pepperoni,2024-02-24 14:46:09.861,484,Ainslie Cantos,"81167 Gulseth Lane","40 Union Avenue",Budënnovsk,"356825",false
129,21.990000,51,Pizza,Hawaiian,2024-02-24 14:46:09.861,250,Annalee Bartle,"17 Banding Drive","39254 Washington Alley",Liandu,,true
130,20.990000,6,Pizza,Pepperoni,2024-02-24 14:46:09.861,252,Marris Ofield,"21 Graedel Park","925 Gina Trail",Sidaurip,,false
131,29.990000,53,Pizza,Cheese,2024-02-24 14:46:09.861,923,Perrine Gaytor,"418 Ohio Drive","7456 Lotheville Road",Blawi,,true
132,20.990000,93,Pizza,Pepperoni,2024-02-24 14:46:09.861,169,Ulberto Wait,"2 Columbus Court","58 Hanover Point",Şafāshahr,,false
133,31.990000,82,Pizza,Pepperoni,2024-02-24 14:46:09.861,485,Arnie Dighton,"9500 Bartillon Alley","509 Manufacturers Pass",Khirdalan,,false
134,25.990000,90,Pizza,Pepperoni,2024-02-24 14:46:09.861,443,Sheila Mursell,"389 Oak Valley Lane","842 Manley Terrace",Jacareí,"12300-000",false
135,21.990000,52,Pizza,Hawaiian,2024-02-24 14:46:09.861,842,Lurlene Garrat,"6 Continental Hill","36 Eastwood Junction",Polanka Wielka,"32-607",true
136,20.990000,63,Pizza,Pepperoni,2024-02-24 14:46:09.861,393,Keenan Pyzer,"49 Vernon Alley","0584 Summerview Trail",Phuket,"83120",false
137,26.990000,93,Pizza,Hawaiian,2024-02-24 14:46:09.861,200,Lira Armour,"58822 Northland Plaza","4 Thackeray Road",Petiga,,false
138,29.990000,56,Pizza,Cheese,2024-02-24 14:46:09.861,405,Brigida Dyott,"22965 Namekagon Parkway","53963 Melrose Plaza",Shuangbaiyang,,false
139,29.990000,2,Pizza,Cheese,2024-02-24 14:46:09.861,981,Jinny Yakunin,"305 Talisman Court","8 Fremont Court",Wuxia,,true
140,29.990000,20,Pizza,Cheese,2024-02-24 14:46:09.861,406,Mallorie Bachelor,"9 Grasskamp Lane","36 Banding Circle",Baliuag Nuevo,"2812",true
141,24.990000,7,Pizza,Cheese,2024-02-24 14:46:09.861,237,Sonny Gabits,"64182 Reindahl Lane","7 Starling Junction",Thới Bình,,false
142,29.990000,37,Pizza,Cheese,2024-02-24 14:46:09.861,705,Odessa Beddin,"02 Carioca Road","5 Hauk Pass",Buenaventura,"764517",true
143,25.990000,92,Pizza,Pepperoni,2024-02-24 14:46:09.861,865,Beverlee Membry,"9137 Lien Road","0346 Starling Place",Bogra,"4520",false
144,25.990000,38,Pizza,Pepperoni,2024-02-24 14:46:09.861,80,Shanta Callen,"2 Ridgeway Place","60377 Union Parkway",Thionville,"57119 CEDEX",false
145,24.990000,56,Pizza,Cheese,2024-02-24 14:46:09.861,136,Jayne Mulbry,"85678 Crescent Oaks Plaza","160 Springview Parkway",Kolondiéba,,false
146,26.990000,19,Pizza,Hawaiian,2024-02-24 14:46:09.861,107,Alley Teasdale-Markie,"4335 Holmberg Center","0 Shopko Alley",Rosario,"8504",true
147,19.990000,80,Pizza,Cheese,2024-02-24 14:46:09.861,761,Mariquilla Olfert,"86693 Memorial Avenue","3 Sauthoff Center",Bełżec,"22-670",false
148,20.990000,43,Pizza,Pepperoni,2024-02-24 14:46:09.861,1,Lilly Royste,"7 Sullivan Junction","7930 Nevada Terrace",Timbrangan,,false
149,26.990000,72,Pizza,Hawaiian,2024-02-24 14:46:09.861,320,Lindy Sharples,"81 Johnson Point","5491 6th Pass",Indramayu,,false
150,26.990000,3,Pizza,Hawaiian,2024-02-24 14:46:09.861,387,Aylmar Reis,"1 Sunbrook Point","8 Bunting Circle",Cinyasag,,false
151,31.990000,38,Pizza,Pepperoni,2024-02-24 14:46:09.861,504,Charity Slarke,"97178 Monument Circle","30 Parkside Avenue",Guayaramerín,,true
152,19.990000,96,Pizza,Cheese,2024-02-24 14:46:09.861,676,Marietta Drewry,"663 Nelson Center","30288 Marcy Lane",Błędów,"05-620",false
153,29.990000,68,Pizza,Cheese,2024-02-24 14:46:09.861,3,Jessika Do Rosario,"69720 Hudson Place","980 Anhalt Way",Biritiba Mirim,"08940-000",false
154,19.990000,24,Pizza,Cheese,2024-02-24 14:46:09.861,502,Dolf McIntosh,"68647 Monica Hill","2 Fairview Pass",Znojmo,"671 81",false
155,19.990000,89,Pizza,Cheese,2024-02-24 14:46:09.861,962,Andrei Shoebrook,"7 Sullivan Junction","7930 Nevada Terrace",Timbrangan,,false
156,20.990000,11,Pizza,Pepperoni,2024-02-24 14:46:09.861,108,Tammy Skough,"14159 Rutledge Plaza","8467 Autumn Leaf Center",Sanquan,,false
157,26.990000,99,Pizza,Hawaiian,2024-02-24 14:46:09.861,854,Florida De Francisci,"94891 Haas Court","12410 Graceland Park",Tawangrejo,,false
158,29.990000,84,Pizza,Cheese,2024-02-24 14:46:09.861,238,Amelie Margerison,"85661 Brentwood Court","63551 Arrowood Park",Sofia,"1000",false
159,20.990000,97,Pizza,Pepperoni,2024-02-24 14:46:09.861,152,Marijn Lincke,"5 Tomscot Junction","693 Moulton Parkway",Banjar Lalangpasek,,true
160,29.990000,92,Pizza,Cheese,2024-02-24 14:46:09.861,270,Edd Gurys,"65 Menomonie Place","49931 Roxbury Avenue",Naushahro Fīroz,"67131",true
161,21.990000,33,Pizza,Hawaiian,2024-02-24 14:46:09.861,79,Melita Degnen,"58634 Acker Point","770 Steensland Court",Kuantan,"25676",false
162,25.990000,13,Pizza,Pepperoni,2024-02-24 14:46:09.861,876,Joella Gaishson,"23667 Crescent Oaks Junction","559 Blaine Trail",Fryčovice,"739 45",false
163,25.990000,41,Pizza,Pepperoni,2024-02-24 14:46:09.861,393,Keenan Pyzer,"01900 Anhalt Alley","76 Scoville Terrace",Ribeiro,"4600-758",false
164,25.990000,11,Pizza,Pepperoni,2024-02-24 14:46:09.861,69,Shawnee Kropp,"76 3rd Street","0 Arkansas Plaza",Lianhua,,true
165,29.990000,90,Pizza,Cheese,2024-02-24 14:46:09.861,460,Wakefield Janicek,"20 East Park","2 Cottonwood Circle",Qīr Moāv,,true
166,26.990000,94,Pizza,Hawaiian,2024-02-24 14:46:09.861,490,Alyce Donaho,"8835 Mosinee Place","84 Northfield Junction",Turba,,false
167,25.990000,62,Pizza,Pepperoni,2024-02-24 14:46:09.861,888,Corrie Petlyura,"92496 Southridge Hill","24 Glendale Place",Chaoshui,,true
168,31.990000,35,Pizza,Pepperoni,2024-02-24 14:46:09.861,28,Gerianna Mintram,"9 Linden Alley","53 Lotheville Street",Lupane,,true
169,25.990000,89,Pizza,Pepperoni,2024-02-24 14:46:09.861,70,Tilly McAw,"290 Atwood Parkway","0719 Lunder Street",Carrizal,,true
170,26.990000,21,Pizza,Hawaiian,2024-02-24 14:46:09.861,61,Irena Piris,"6237 Warrior Alley","54 Rutledge Way",Dadiharja,,false
171,20.990000,5,Pizza,Pepperoni,2024-02-24 14:46:09.861,274,Gabbi Moodie,"0298 Menomonie Parkway","37136 David Hill",Capacho Nuevo,,false
172,29.990000,25,Pizza,Cheese,2024-02-24 14:46:09.861,270,Edd Gurys,"0 Straubel Point","0 Portage Park",Podebłocie,"04-622",false
